"iso2c","country","year","Rep_GFDD.DI.01","Rep_GFDD.DI.02","Rep_GFDD.DI.03","Rep_GFDD.DI.04","Rep_GFDD.DI.05","Rep_GFDD.DI.06","Rep_GFDD.DI.07","Rep_GFDD.DI.08","Rep_GFDD.DI.11","Rep_GFDD.DI.12","Rep_GFDD.DI.13","Rep_GFDD.DI.14","Rep_GFDD.EI.08","Rep_GFDD.OI.02","Rep_GFDD.SI.02","Rep_GFDD.SI.03","Rep_GFDD.SI.04","Rep_GFDD.SI.05","Rep_GFDD.SI.07"
"CZ","Czech Republic",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2009,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
"CZ","Czech Republic",2010,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
"CZ","Czech Republic",2011,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
"DK","Denmark",1998,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"DK","Denmark",1999,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"DK","Denmark",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
"DK","Denmark",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"DK","Denmark",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DK","Denmark",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DK","Denmark",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DK","Denmark",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DK","Denmark",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"DK","Denmark",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DK","Denmark",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DK","Denmark",2009,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
"DK","Denmark",2010,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
"DK","Denmark",2011,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
"EE","Estonia",1998,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"EE","Estonia",1999,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"EE","Estonia",2000,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"EE","Estonia",2001,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"EE","Estonia",2002,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"EE","Estonia",2003,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"EE","Estonia",2004,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"EE","Estonia",2005,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"EE","Estonia",2006,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"EE","Estonia",2007,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
