"country","iso2c","quarter","bond_yld_datastream","bond_yld_datastream_details"
"Australia","AU",1984.4,13.28,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1985.1,13.53,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1985.2,13.75,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1985.3,13.72,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1985.4,14.82,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1986.1,13.47,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1986.2,12.62,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1986.3,14.05,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1986.4,13.53,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1987.1,13.75,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1987.2,12.95,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1987.3,12.8,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1987.4,13.27,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1988.1,12.2,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1988.2,11.92,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1988.3,11.9,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1988.4,12.4,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1989.1,13.53,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1989.2,13.6,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1989.3,13.32,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1989.4,13.18,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1990.1,13.18,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1990.2,13.56,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1990.3,13.43,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1990.4,12.55,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1991.1,11.48,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1991.2,10.97,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1991.3,10.66,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1991.4,9.66,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1992.1,10.01,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1992.2,9.15,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1992.3,8.74,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1992.4,8.98,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1993.1,8.13,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1993.2,7.54,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1993.3,6.79,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1993.4,6.66,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1994.1,7.12,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1994.2,8.95,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1994.3,9.75,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1994.4,10.34,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
