"country","iso2c","date","bid_ask_local_spread_bloomberg","bid_ask_usd_spread_bloomberg","bond_spread_local_US_10yr_bloomberg","bond_spread_usd_US_10yr_bloomberg","bond_spread_local_DE_10yr_bloomberg","bond_spread_usd_DE_10yr_bloomberg","bond_spread_local_JP_10yr_bloomberg","bond_spread_usd_JP_10yr_bloomberg","bond_spread_local_UK_10yr_bloomberg","bond_spread_usd_UK_10yr_bloomberg"
"China","CN","2012-04-20",0.0610000000000004,,154.9435,,180.5561,,257.5135,,133.8268,
"China","CN","2012-04-27",0.0579999999999998,,156.6289,,180.4053,,260.5827,,137.807,
"China","CN","2012-05-04",0.052,,163.9575,,193.6371,,262.7943,,152.3723,
"China","CN","2012-05-11",0.0609999999999999,,163.6187,,195.9169,,262.2512,,151.2744,
"China","CN","2012-05-18",0.0750000000000002,,162.3665,,192.2291,,251.7996,,152.3231,
"China","CN","2012-05-25",0.0669999999999997,,155.314,,192.328,,240.4822,,153.913,
"China","CN","2012-06-01",0.0589999999999997,,187.2233,,215.3479,,250.992,,179.2249,
"China","CN","2012-06-08",0.0550000000000002,,165.1453,,195.9502,,243.2422,,166.1812,
"China","CN","2012-06-15",0.0470000000000002,,178.7548,,192.9902,,251.3504,,170.0193,
"China","CN","2012-06-22",0.111,,167.4707,,176.977,,252.0626,,162.6634,
"China","CN","2012-06-29",0.0449999999999999,,165.5014,,171.893,,246.4633,,156.7655,
"China","CN","2012-07-06",0.0499999999999998,,171.0309,,193.4145,,246.1109,,166.8465,
"China","CN","2012-07-13",0.0529999999999999,,172.7302,,195.661,,243.864,,166.7476,
"China","CN","2012-07-20",0.0390000000000001,,179.5951,,208.7028,,251.0351,,176.9596,
"China","CN","2012-07-27",0.0379999999999998,,170.1493,,185.1546,,250.2505,,171.2859,
"China","CN","2012-08-03",0.0350000000000001,,169.9583,,184.084,,252.1364,,170.4093,
"China","CN","2012-08-10",0.0429999999999997,,160.2278,,187.6391,,245.9321,,171.9664,
"China","CN","2012-08-17",0.0449999999999999,,149.4316,,181.0818,,246.9516,,163.4869,
"China","CN","2012-08-24",0.0599999999999996,,163.272,,196.625,,251.1957,,179.2515,
"China","CN","2012-08-31",0.052,,180.7498,,202.3936,,256.0605,,189.3164,
"China","CN","2012-09-07",0.048,,171.4158,,186.4675,,256.1683,,169.9187,
"China","CN","2012-09-14",0.0640000000000001,,164.7261,,180.9302,,271.1011,,154.9863,
"China","CN","2012-09-21",0.0529999999999999,,172.2923,,188.1057,,267.5429,,164.3025,
"China","CN","2012-09-28",0.0720000000000001,,177.9147,,197.2204,,263.6397,,168.6992,
"China","CN","2012-10-12",0.0529999999999999,,179.9749,,201.2286,,269.1505,,173.6264,
"China","CN","2012-10-19",0.0569999999999999,,171.4479,,188.5864,,269.4523,,159.9803,
"China","CN","2012-10-26",0.0500000000000003,,177.0209,,198.0314,,275.0078,,164.9482,
"China","CN","2012-11-02",0.0710000000000002,,182.3324,,208.9918,,275.5724,,168.4281,
"China","CN","2012-11-09",0.0530000000000004,,192.1815,,218.2293,,279.184,,179.4953,
"China","CN","2012-11-16",0.044,,191.7722,,216.8495,,276.9435,,176.7918,
"China","CN","2012-11-23",0.0680000000000001,,179.5293,,205.1228,,274.5949,,164.3916,
"China","CN","2012-11-30",0.0590000000000002,,187.6228,,210.7121,,277.6665,,171.8123,
"China","CN","2012-12-07",0.0640000000000001,,188.8576,,221.7297,,280.6826,,176.9217,
"China","CN","2012-12-14",0.0589999999999997,,182.3898,,217.9358,,279.0099,,166.4837,
"China","CN","2012-12-21",0.0569999999999999,,178.3728,,217.2663,,278.266,,166.3981,
"China","CN","2012-12-28",0.0449999999999999,,184.8869,,224.1714,,276.0469,,172.917,
"China","CN","2013-01-04",0.0750000000000002,,164.8502,,201.3706,,272.3339,,143.0341,
"China","CN","2013-01-11",0.0680000000000001,,169.1021,,197.7913,,274.0471,,147.8252,
"China","CN","2013-01-18",0.0760000000000001,,171.0286,,199.8675,,279.9699,,154.2617,
"China","CN","2013-01-25",0.0660000000000003,,159.0932,,190.5068,,281.5438,,148.55,
"China","CN","2013-02-01",0.073,,154.5501,,188.9899,,279.1226,,146.5192,
"China","CN","2013-02-08",0.0569999999999999,,160.7583,,194.9916,,279.4276,,146.3941,
"China","CN","2013-02-22",0.0600000000000001,,158.3429,,197.9015,,281.701,,143.7924,
"China","CN","2013-03-01",0.0779999999999998,,170.5307,,213.7939,,288.8251,,167.7184,
"China","CN","2013-03-08",0.0529999999999999,,150.003,,201.9604,,289.6486,,148.3266,
"China","CN","2013-03-15",0.0449999999999999,,156.9246,,210.5435,,293.5446,,162.4163,
"China","CN","2013-03-22",0.0610000000000004,,161.9249,,216.7087,,297.9999,,169.3533,
"China","CN","2013-03-29",0.0590000000000002,,166.9667,,223.144,,296.9029,,175.2164,
"China","CN","2013-04-05",0.0340000000000003,,176.6329,,226.86,,294.6823,,184.9366,
"China","CN","2013-04-12",0.0590000000000002,,173.8648,,220.074,,284.7173,,173.44,
"China","CN","2013-04-19",0.0670000000000002,,171.0625,,216.6396,,283.6244,,175.5205,
"China","CN","2013-04-26",0.0720000000000001,,173.0962,,218.9758,,280.5018,,171.7411,
"China","CN","2013-05-03",0.056,,167.6157,,217.6426,,285.1107,,169.0659,
"China","CN","2013-05-10",0.0510000000000002,,150.7666,,202.6668,,271.0698,,151.6333,
"China","CN","2013-05-17",0.0579999999999998,,144.198,,206.8167,,259.7343,,151.0236,
"China","CN","2013-05-24",0.0610000000000004,,138.3143,,196.2394,,255.8961,,149.6094,
"China","CN","2013-05-31",0.0529999999999999,,128.0117,,190.5239,,255.308,,140.7673,
"China","CN","2013-06-07",0.093,,122.4805,,185.2539,,254.243,,132.907,
"China","CN","2013-06-14",0.104,,127.359,,189.0733,,258.0858,,134.3998,
"China","CN","2013-06-21",0.177,,92.4909,,173.2753,,258.174,,105.3409,
"China","CN","2013-06-28",0.135,,97.472,,173.407,,260.9251,,101.9491,
